Score,Text,Time
0.4404,"@willchamberlain Let us count the ways, starting with #MehmetOz. Better questions: who could possibly vote for 89–y… https://t.co/VgZsxCeU0r",2022-11-09T19:28:07.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T19:20:12.000Z
0,To see #MehmetOz in the midterm US elections is something I never thought I needed to see,2022-11-09T19:16:39.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T19:13:19.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T19:05:41.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T18:56:12.000Z
-0.296,I think the theme of this midterm is that the electorate is no longer looking for celebrity sound bite politicians… https://t.co/IgzdAFIIjE,2022-11-09T18:54:10.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T18:41:37.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T18:41:31.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T18:31:52.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T18:27:48.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T18:25:50.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T18:20:10.000Z
0.7865,"RT @RV30B: PENNSYLVANIA TRUTH: #DonaldTrump should have endorsed #KathyBarnette, a far better and more viable candidate than #MehmetOz, a s…",2022-11-09T18:19:00.000Z
